ptdfAT|ptdfBE|ptdfDE|ptdfFR|ptdfNL|ram|timestamp
-0.02428|0.06883|-0.08943|0.13687|0|898|2019-02-15T12:00:00Z
0.0186|0.09657|-0.05373|0.16706|0|898|2019-02-15T12:00:00Z
0.01813|0.10908|-0.04773|0.18747|0|898|2019-02-15T12:00:00Z
0.00012|0.10272|-0.06526|0.17002|0|898|2019-02-15T12:00:00Z
0.00276|0.10571|-0.05911|0.18249|0|898|2019-02-15T12:00:00Z
0.17402|0.00807|0.01282|-0.01067|0|839|2019-02-15T12:00:00Z
0.173|-0.00394|0.01274|-0.02291|0|844|2019-02-15T12:00:00Z
0.17127|-0.00273|0.00087|-0.00538|0|844|2019-02-15T12:00:00Z
0.18328|-0.00417|0.02486|-0.01124|0|844|2019-02-15T12:00:00Z
0.17309|-0.01892|0.0265|-0.04705|0|844|2019-02-15T12:00:00Z
0.17609|0|0.01701|-0.0215|0|844|2019-02-15T12:00:00Z
0.18122|0|0.02077|-0.01111|0|844|2019-02-15T12:00:00Z
0.1791|0|0.01319|-0.00332|0|844|2019-02-15T12:00:00Z
0.17444|0|0.01285|-0.01889|0|844|2019-02-15T12:00:00Z
0.17283|0|0.00401|-0.00679|0|844|2019-02-15T12:00:00Z
0.17185|0|0.00417|-0.01054|0|844|2019-02-15T12:00:00Z
0.17161|-0.00316|0.00525|-0.00316|0|830|2019-02-15T12:00:00Z
0.1716|-0.00317|0.00524|-0.00317|0|830|2019-02-15T12:00:00Z
0.17839|-0.00406|0.01761|-0.00406|0|830|2019-02-15T12:00:00Z
0.17658|-0.00167|0.01301|-0.00167|0|830|2019-02-15T12:00:00Z
0.17008|-0.01043|0.00698|-0.01043|0|830|2019-02-15T12:00:00Z
0.17002|-0.00708|0.00484|-0.00708|0|830|2019-02-15T12:00:00Z
0.17613|-0.0108|0.01774|-0.0108|0|830|2019-02-15T12:00:00Z
0.17259|-0.01623|0.01484|-0.01623|0|830|2019-02-15T12:00:00Z
0.17511|-0.00399|0.0129|0.00091|0|830|2019-02-15T12:00:00Z
0.17072|-0.01594|0.01258|-0.01047|0|830|2019-02-15T12:00:00Z
0.16313|-0.00352|0|-0.00914|0|812|2019-02-15T12:00:00Z
0.16288|-0.00355|0|-0.00999|0|812|2019-02-15T12:00:00Z
0.16287|-0.00387|0|-0.00999|0|812|2019-02-15T12:00:00Z
0.16283|-0.00371|0|-0.01015|0|812|2019-02-15T12:00:00Z
0.1628|-0.00381|0|-0.01023|0|812|2019-02-15T12:00:00Z
0.16267|-0.0037|-2e-04|-0.00998|0|812|2019-02-15T12:00:00Z
-0.09385|0.02405|0.02642|0.02386|0.02348|734|2019-02-15T23:00:00Z
-0.15414|0.0479|0.02706|0.05292|0.04438|1206|2019-02-15T23:00:00Z
0.01561|0.24784|-0.0133|0.10697|-0.02491|1316|2019-02-15T23:00:00Z
-0.00189|0.08057|0.00072|-0.00015|0.01895|356|2019-02-15T23:00:00Z
-0.0131|-0.18048|0.00939|-0.08776|0.17449|934|2019-02-15T23:00:00Z
0.01177|0.24196|-0.01033|0.08552|-0.01619|1206|2019-02-15T23:00:00Z
-0.01564|0.17902|0.01374|-0.13017|0.10082|1488|2019-02-15T23:00:00Z
